STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
2,AK,00A,0200A,state Senate district a,112938161.4,65770.28732,32.80882916,5995.77882,37672.55757,57.27899193,142234794,79.40262588,259559232.2,43.51151775
2,AK,00B,0200B,State Senate District B,2241714941,306843.3458,29.91964694,26712.55567,167839.7955,54.69885459,3136361925,71.47500815,6014847063,37.26969145
2,AK,00C,0200C,State Senate District C,3.21195E+11,4698548.953,18.28311258,319749.093,2009041.106,42.75875651,4.23919E+11,75.76782161,6.84815E+11,46.90237035
2,AK,00D,0200D,State Senate District D,1903356305,268592.8765,33.15435716,24614.1756,154655.2959,57.57982039,2274667892,83.6762286,5101896671,37.30683759
2,AK,00E,0200E,State Senate District E,99133941811,2276119.052,24.04594915,177638.229,1116132.967,49.03666909,1.3314E+11,74.45824706,2.41437E+11,41.05996691
2,AK,00F,0200F,State Senate District F,2686504739,283387.4808,42.03739418,29242.80663,183737.8178,64.8362508,3279087039,81.92843638,4955730174,54.21006883
2,AK,00G,0200G,State Senate District G,1112905751,191507.4453,38.13261229,18821.50903,118258.9291,61.75160912,1375665019,80.89947296,2639160097,42.1689367
2,AK,00H,0200H,State Senate District H,88684656.97,56604.74132,34.78182516,5313.118379,33383.27914,58.97611819,122463126,72.41743689,268727097.4,33.00175451
2,AK,00I,0200I,State Senate District I,22360006.94,30040.51015,31.13628717,2667.848811,16762.57429,55.7998989,32565732.9,68.6611507,60568764.17,36.91672969
2,AK,00J,0200J,State Senate District J,30835173.35,31928.72137,38.00955959,3132.913789,19684.66126,61.6518934,40115797.88,76.86541208,77657501.86,39.70662539
2,AK,00K,0200K,State Senate District K,314717257.5,82964.09233,57.45789653,10008.88101,62887.60097,75.80098715,347138329.5,90.66047473,664267170.4,47.37811404
2,AK,00L,0200L,State Senate District L,96446879.98,52154.03045,44.55761409,5540.759995,34813.59238,66.75148993,112345817.9,85.84821559,285164265.9,33.82151676
2,AK,00M,0200M,State Senate District M,45602935.59,33177.84772,52.06020554,3809.9708,23938.73233,72.15275847,55660324.78,81.93077524,73756795.37,61.82879199
2,AK,00N,0200N,State Senate District N,1776176115,254095.1771,34.57026263,23777.61331,149399.0244,58.79648172,2588227748,68.62518635,5052568089,35.15392735
2,AK,00O,0200O,State Senate District O,10530422887,590597.226,37.93783155,57895.94582,363770.6488,61.59369411,13729759449,76.69779595,22906390372,45.9715508
2,AK,00P,0200P,State Senate District P,1.41405E+11,5162976.892,6.666138574,212157.2359,1333022.101,25.81886631,4.17874E+11,33.83915883,1.12969E+12,12.51713508
2,AK,00Q,0200Q,State Senate District Q,28284860383,887101.2556,45.16657391,94886.02792,596185.9929,67.2060815,35318238201,80.08570592,66439768571,42.57218379
2,AK,00R,0200R,State Senate District R,89953715572,1562295.857,46.31290697,169213.4189,1063198.37,68.05358695,1.05059E+11,85.62207348,2.24379E+11,40.09015658
2,AK,00S,0200S,State Senate District S,4.20918E+11,10907220.59,4.446095239,366036.1474,2299871.001,21.08576591,1.65256E+12,25.47064221,4.41157E+12,9.541237332
2,AK,00T,0200T,State Senate District T,6.01485E+11,6863305.05,16.0460262,437559.9351,2749267.833,40.05749144,8.76391E+11,68.63200163,1.83517E+12,32.77536972
1,AL,1,1001,State Senate District 1,2478972286,420205.0361,17.64244055,28090.60435,176498.3234,42.00290532,3436184011,72.14317622,12084294647,20.51400068
